"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2013,273,235,38,0,0,0,0,87,54,36,0,0,200,0,73,0
"Alabama","Clay",2013,118,100,18,0,0,0,0,65,52,32,0,0,0,0,118,0
"Alabama","Colbert",2013,285,252,33,0,0,0,0,80,51,38,0,0,202,0,83,0
"Alabama","DeKalb",2013,360,319,41,0,0,0,0,93,52,38,0,0,305,0,55,0
"Alabama","Elmore",2013,244,229,15,0,0,0,0,87,48,36,0,0,244,0,0,0
"Alabama","Etowah",2013,281,244,37,0,0,0,0,90,52,37,0,0,197,0,84,0
"Alabama","Houston",2013,285,259,26,0,0,0,0,84,50,36,0,0,206,0,79,0
"Alabama","Jefferson",2013,365,192,171,2,0,0,0,129,68,50,0,1,106,3,254,1
"Alabama","Lawrence",2013,109,102,7,0,0,0,0,62,48,27,0,0,0,0,109,0
"Alabama","Madison",2013,336,282,54,0,0,0,0,90,54,40,0,0,220,0,63,53
"Alabama","Mobile",2013,285,248,37,0,0,0,0,90,54,39,0,0,215,0,66,4
"Alabama","Montgomery",2013,285,240,45,0,0,0,0,87,54,39,0,0,194,0,91,0
"Alabama","Morgan",2013,282,238,44,0,0,0,0,87,54,40,0,0,210,0,72,0
"Alabama","Russell",2013,284,232,52,0,0,0,0,93,57,41,0,0,199,0,85,0
"Alabama","Shelby",2013,285,242,42,1,0,0,0,101,55,39,0,0,205,0,80,0
"Alabama","Sumter",2013,220,213,7,0,0,0,0,90,43,31,0,0,220,0,0,0
"Alabama","Talladega",2013,114,88,26,0,0,0,0,63,55,38,0,0,0,0,114,0
"Alabama","Tuscaloosa",2013,362,333,29,0,0,0,0,71,49,32,0,0,194,81,87,0
"Alaska","Aleutians East ",2013,105,105,0,0,0,0,0,35,19,9,0,0,0,0,105,0
"Alaska","Anchorage ",2013,365,312,52,0,1,0,0,151,55,24,20,0,0,0,212,133
"Alaska","Denali ",2013,359,357,2,0,0,0,0,53,44,32,0,0,353,0,6,0
"Alaska","Fairbanks North Star ",2013,365,197,109,31,28,0,0,194,133,44,0,0,69,1,285,10
"Alaska","Juneau ",2013,346,309,35,2,0,0,0,107,53,19,0,0,0,0,334,12
"Alaska","Kenai Peninsula ",2013,285,276,8,1,0,0,0,111,30,7,0,0,0,0,80,205
"Alaska","Matanuska-Susitna ",2013,365,316,45,4,0,0,0,114,57,22,0,0,0,0,307,58
"Alaska","Yukon-Koyukuk ",2013,84,80,4,0,0,0,0,99,19,6,0,0,0,0,84,0
"Arizona","Apache",2013,357,356,1,0,0,0,0,52,25,12,0,0,0,0,39,318
"Arizona","Cochise",2013,365,219,139,7,0,0,0,149,77,48,0,0,286,0,12,67
"Arizona","Coconino",2013,364,262,99,3,0,0,0,115,71,46,0,0,360,0,4,0
"Arizona","Gila",2013,365,64,191,90,19,1,0,276,131,77,0,0,85,239,0,41
"Arizona","La Paz",2013,240,148,87,5,0,0,0,115,80,48,0,0,240,0,0,0
"Arizona","Maricopa",2013,365,48,269,41,7,0,0,187,105,67,0,20,215,0,78,52
"Arizona","Mohave",2013,358,343,14,1,0,0,0,127,36,18,0,0,0,0,42,316
"Arizona","Navajo",2013,365,246,119,0,0,0,0,100,74,46,0,0,351,0,0,14
"Arizona","Pima",2013,365,208,149,5,0,2,1,312,80,49,0,3,269,0,25,68
"Arizona","Pinal",2013,365,97,189,56,15,5,2,902,131,69,0,0,115,0,11,239
"Arizona","Santa Cruz",2013,344,253,86,3,2,0,0,159,64,36,0,0,0,0,122,222
"Arizona","Yavapai",2013,288,226,61,1,0,0,0,101,64,44,0,0,245,0,41,2
"Arizona","Yuma",2013,365,243,112,9,0,0,0,536,77,44,0,0,178,0,30,157
"Arkansas","Arkansas",2013,116,85,31,0,0,0,0,83,61,35,0,0,0,0,116,0
"Arkansas","Ashley",2013,116,91,25,0,0,0,0,88,57,33,0,0,0,0,116,0
"Arkansas","Clark",2013,318,298,19,1,0,0,0,112,47,33,0,0,318,0,0,0
"Arkansas","Crittenden",2013,365,305,59,1,0,0,0,104,58,38,0,28,281,0,56,0
"Arkansas","Garland",2013,120,92,28,0,0,0,0,72,61,36,0,0,0,0,120,0
"Arkansas","Jackson",2013,114,86,28,0,0,0,0,79,58,35,0,0,0,0,114,0
"Arkansas","Newton",2013,365,319,46,0,0,0,0,90,52,37,0,0,338,0,27,0
"Arkansas","Polk",2013,354,282,72,0,0,0,0,93,62,42,0,0,306,0,48,0
"Arkansas","Pulaski",2013,365,198,164,3,0,0,0,108,71,49,0,2,150,0,213,0
