"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2016,279,247,32,0,0,0,0,87,51,37,0,0,221,0,58,0
"Alabama","Clay",2016,116,109,7,0,0,0,0,56,45,30,0,0,0,0,116,0
"Alabama","Colbert",2016,282,258,23,1,0,0,0,115,50,38,0,0,219,0,63,0
"Alabama","DeKalb",2016,348,304,43,1,0,0,0,119,54,40,0,0,321,0,27,0
"Alabama","Elmore",2016,117,107,10,0,0,0,0,77,48,40,0,0,117,0,0,0
"Alabama","Etowah",2016,352,162,184,3,3,0,0,179,67,52,0,0,104,0,248,0
"Alabama","Houston",2016,280,265,15,0,0,0,0,97,48,35,0,0,221,0,59,0
"Alabama","Jefferson",2016,366,191,166,8,1,0,0,151,77,49,0,16,147,1,199,3
"Alabama","Lawrence",2016,118,116,1,1,0,0,0,105,40,25,0,0,0,0,118,0
"Alabama","Madison",2016,337,284,52,1,0,0,0,122,55,40,0,0,235,0,45,57
"Alabama","Mobile",2016,366,277,87,2,0,0,0,139,58,41,0,0,138,9,219,0
"Alabama","Montgomery",2016,363,285,76,1,1,0,0,170,58,42,0,0,175,0,188,0
"Alabama","Morgan",2016,365,304,59,2,0,0,0,107,55,40,0,0,214,0,151,0
"Alabama","Russell",2016,257,192,65,0,0,0,0,100,61,43,0,0,176,0,81,0
"Alabama","Shelby",2016,244,205,35,4,0,0,0,133,61,41,0,0,244,0,0,0
"Alabama","Sumter",2016,336,315,21,0,0,0,0,70,47,34,0,0,185,0,151,0
"Alabama","Talladega",2016,117,99,18,0,0,0,0,79,52,35,0,0,0,0,117,0
"Alabama","Tuscaloosa",2016,365,224,141,0,0,0,0,100,59,47,0,0,93,0,272,0
"Alaska","Aleutians East ",2016,119,118,1,0,0,0,0,53,18,8,0,0,0,0,119,0
"Alaska","Anchorage ",2016,361,288,73,0,0,0,0,90,59,31,0,0,0,0,214,147
"Alaska","Denali ",2016,358,357,1,0,0,0,0,54,41,33,0,0,354,0,4,0
"Alaska","Fairbanks North Star ",2016,366,218,90,34,24,0,0,180,123,37,0,4,136,2,209,15
"Alaska","Juneau ",2016,305,255,50,0,0,0,0,89,58,20,0,0,0,0,297,8
"Alaska","Kenai Peninsula ",2016,122,122,0,0,0,0,0,25,14,7,0,0,0,0,122,0
"Alaska","Matanuska-Susitna ",2016,366,298,64,4,0,0,0,128,61,33,0,0,249,0,88,29
"Arizona","Apache",2016,366,364,2,0,0,0,0,54,24,13,0,0,0,0,33,333
"Arizona","Cochise",2016,366,281,83,2,0,0,0,141,61,44,0,0,323,0,3,40
"Arizona","Coconino",2016,366,301,65,0,0,0,0,97,58,44,0,0,363,0,3,0
"Arizona","Gila",2016,366,83,136,120,27,0,0,200,138,85,0,0,82,263,0,21
"Arizona","La Paz",2016,365,294,70,1,0,0,0,101,67,41,0,1,291,3,34,36
"Arizona","Maricopa",2016,366,59,270,36,0,1,0,203,101,64,0,33,186,0,74,73
"Arizona","Mohave",2016,357,336,21,0,0,0,0,83,40,18,0,0,0,0,34,323
"Arizona","Navajo",2016,366,301,65,0,0,0,0,90,54,43,0,0,352,0,0,14
"Arizona","Pima",2016,366,201,161,4,0,0,0,119,74,49,0,0,245,0,14,107
"Arizona","Pinal",2016,366,76,237,46,5,1,0,1263,108,69,0,0,109,0,34,223
"Arizona","Santa Cruz",2016,363,260,102,0,1,0,0,191,62,38,0,0,0,0,200,163
"Arizona","Yavapai",2016,349,300,49,0,0,0,0,90,54,40,0,0,343,0,6,0
"Arizona","Yuma",2016,366,228,124,12,1,0,1,419,77,46,0,0,213,0,43,110
"Arkansas","Arkansas",2016,119,100,19,0,0,0,0,70,54,33,0,0,0,0,119,0
"Arkansas","Ashley",2016,118,102,16,0,0,0,0,68,52,34,0,0,0,0,118,0
"Arkansas","Clark",2016,355,351,4,0,0,0,0,54,45,34,0,0,355,0,0,0
"Arkansas","Crittenden",2016,366,314,49,2,1,0,0,159,54,39,0,20,308,0,38,0
"Arkansas","Garland",2016,119,97,22,0,0,0,0,67,53,36,0,0,0,0,119,0
"Arkansas","Jackson",2016,115,94,21,0,0,0,0,76,57,30,0,0,0,0,115,0
"Arkansas","Newton",2016,366,350,16,0,0,0,0,90,47,37,0,0,343,0,23,0
"Arkansas","Polk",2016,366,318,48,0,0,0,0,87,52,40,0,0,323,0,43,0
"Arkansas","Pulaski",2016,366,257,109,0,0,0,0,100,60,44,0,6,166,0,194,0
