"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Colbert",1987,257,161,32,39,25,0,0,200,148,26,0,0,0,257,0,0
"Alabama","Cullman",1987,125,73,31,16,5,0,0,177,115,47,0,0,125,0,0,0
"Alabama","Etowah",1987,59,40,19,0,0,0,0,70,57,39,0,0,0,0,0,59
"Alabama","Jackson",1987,254,157,64,24,9,0,0,200,110,40,0,0,0,254,0,0
"Alabama","Jefferson",1987,365,161,162,38,4,0,0,182,105,53,84,0,154,20,0,107
"Alabama","Lauderdale",1987,256,208,30,16,2,0,0,176,87,11,0,0,0,256,0,0
"Alabama","Madison",1987,237,149,60,22,6,0,0,172,108,45,0,0,237,0,0,0
"Alabama","Mobile",1987,314,157,76,67,14,0,0,200,130,51,0,0,162,125,0,27
"Alabama","Montgomery",1987,259,123,67,43,21,5,0,223,151,51,0,0,243,0,0,16
"Alabama","Morgan",1987,75,66,9,0,0,0,0,97,60,29,0,0,0,75,0,0
"Alabama","Shelby",1987,282,164,60,38,17,3,0,214,133,47,0,0,257,0,0,25
"Alaska","Anchorage ",1987,348,211,128,9,0,0,0,138,74,42,169,0,0,0,0,179
"Alaska","Denali ",1987,148,148,0,0,0,0,0,41,36,30,0,0,148,0,0,0
"Alaska","Fairbanks North Star ",1987,272,188,66,15,3,0,0,193,88,34,169,0,0,0,0,103
"Alaska","Juneau ",1987,359,342,17,0,0,0,0,73,39,13,0,0,0,0,0,359
"Arizona","Apache",1987,238,164,71,2,1,0,0,154,74,45,0,0,238,0,0,0
"Arizona","Cochise",1987,313,279,29,5,0,0,0,133,55,0,0,0,0,253,0,60
"Arizona","Coconino",1987,194,184,10,0,0,0,0,72,39,18,159,0,0,0,0,35
"Arizona","Gila",1987,324,127,74,97,26,0,0,200,143,72,0,0,0,298,0,26
"Arizona","Graham",1987,52,50,2,0,0,0,0,89,44,29,0,0,0,0,0,52
"Arizona","Maricopa",1987,362,69,213,74,6,0,0,166,122,77,144,0,218,0,0,0
"Arizona","Navajo",1987,41,40,1,0,0,0,0,78,40,19,0,0,0,0,0,41
"Arizona","Pima",1987,365,160,181,24,0,0,0,150,90,53,81,58,185,6,0,35
"Arizona","Pinal",1987,182,38,39,65,40,0,0,200,184,106,0,0,0,182,0,0
"Arizona","Santa Cruz",1987,47,23,21,3,0,0,0,139,87,51,0,0,0,0,0,47
"Arizona","Yuma",1987,190,115,60,12,3,0,0,172,100,46,0,0,158,0,0,32
"Arkansas","Arkansas",1987,91,78,13,0,0,0,0,71,52,26,0,0,0,0,0,91
"Arkansas","Boone",1987,96,96,0,0,0,0,0,48,39,25,0,0,0,0,0,96
"Arkansas","Pulaski",1987,365,235,93,26,11,0,0,185,101,44,0,45,307,1,0,12
"Arkansas","Union",1987,313,295,14,4,0,0,0,139,43,13,0,0,0,313,0,0
"California","Alameda",1987,365,271,70,14,8,2,0,212,87,40,17,177,168,0,0,3
"California","Butte",1987,364,204,129,28,3,0,0,156,93,47,53,88,214,0,0,9
"California","Colusa",1987,236,82,86,52,16,0,0,192,143,67,0,0,213,0,0,23
"California","Contra Costa",1987,365,232,92,28,13,0,0,200,101,47,21,136,196,8,0,4
"California","Del Norte",1987,72,68,4,0,0,0,0,56,35,27,0,0,36,0,0,36
"California","El Dorado",1987,365,79,250,33,3,0,0,159,100,63,205,1,158,0,0,1
"California","Fresno",1987,365,68,118,79,62,38,0,247,201,95,41,74,233,1,0,16
"California","Glenn",1987,213,83,90,33,7,0,0,179,115,60,0,0,176,0,0,37
"California","Humboldt",1987,60,51,9,0,0,0,0,72,56,30,0,0,0,0,0,60
"California","Imperial",1987,348,272,72,4,0,0,0,136,67,37,0,0,307,0,0,41
"California","Inyo",1987,69,53,11,4,0,0,0,568,84,33,0,0,0,0,0,69
"California","Kern",1987,365,87,121,54,71,32,0,227,195,80,6,90,233,13,0,23
"California","Kings",1987,224,135,50,25,14,0,0,197,122,47,0,0,185,0,0,39
"California","Lake",1987,357,320,34,3,0,0,0,133,51,30,0,0,353,0,0,4
"California","Los Angeles",1987,365,6,91,87,52,129,0,293,247,150,42,122,200,1,0,0
"California","Madera",1987,46,34,12,0,0,0,0,73,62,40,0,0,0,0,0,46
"California","Marin",1987,360,322,36,2,0,0,0,119,51,38,26,227,92,0,0,15
"California","Mariposa",1987,277,108,99,51,18,1,0,206,140,64,0,0,270,0,0,7
"California","Mendocino",1987,187,159,26,2,0,0,0,119,58,33,0,0,145,0,0,42
"California","Merced",1987,60,44,16,0,0,0,0,75,60,37,0,0,0,0,0,60
"California","Mono",1987,348,202,106,39,1,0,0,164,105,46,34,0,294,0,0,20
"California","Monterey",1987,365,322,39,4,0,0,0,122,54,37,0,70,291,0,0,4
"California","Napa",1987,365,314,44,7,0,0,0,133,57,38,30,125,201,0,0,9
"California","Orange",1987,365,65,180,69,34,17,0,263,169,79,6,203,153,0,0,3
"California","Placer",1987,365,192,86,51,28,8,0,217,150,48,0,0,356,0,0,9
"California","Plumas",1987,175,171,4,0,0,0,0,82,19,11,37,129,0,0,0,9
"California","Riverside",1987,365,77,96,43,47,102,0,285,235,105,41,82,235,0,0,7
"California","Sacramento",1987,365,129,130,57,40,9,0,223,161,67,72,64,225,0,0,4
"California","San Benito",1987,365,198,85,58,22,2,0,208,140,47,0,0,364,0,0,1
"California","San Bernardino",1987,365,32,115,48,38,132,0,298,255,122,2,146,216,0,0,1
"California","San Diego",1987,365,52,131,91,62,29,0,296,190,100,5,132,226,1,0,1
"California","San Francisco",1987,365,298,63,4,0,0,0,110,67,38,153,154,55,0,0,3
"California","San Joaquin",1987,365,170,109,58,27,1,0,205,143,54,32,114,201,1,0,17
"California","San Luis Obispo",1987,365,280,67,16,1,1,0,206,77,41,1,61,293,7,0,3
"California","San Mateo",1987,364,314,44,6,0,0,0,112,57,37,32,178,147,0,0,7
"California","Santa Barbara",1987,365,126,160,57,19,3,0,239,133,64,44,40,276,5,0,0
"California","Santa Clara",1987,365,222,98,22,19,4,0,203,122,46,101,0,253,0,0,11
"California","Santa Cruz",1987,365,343,20,2,0,0,0,108,46,32,0,18,329,0,0,18
"California","Shasta",1987,363,234,72,38,18,1,0,203,122,38,9,140,205,0,0,9
"California","Siskiyou",1987,268,206,56,5,1,0,0,190,71,42,0,0,240,0,0,28
"California","Solano",1987,365,259,80,19,7,0,0,192,89,42,42,91,228,4,0,0
"California","Sonoma",1987,363,310,44,7,2,0,0,179,58,37,15,118,218,0,0,12
"California","Stanislaus",1987,365,154,109,39,53,10,0,223,166,61,28,113,211,1,0,12
"California","Sutter",1987,231,128,65,32,6,0,0,174,115,48,0,0,203,0,0,28
"California","Tehama",1987,57,45,11,1,0,0,0,102,60,31,0,0,0,0,0,57
"California","Trinity",1987,233,232,1,0,0,0,0,62,21,11,192,0,0,0,0,41
"California","Tulare",1987,365,113,79,56,104,13,0,229,187,87,10,65,255,21,0,14
"California","Ventura",1987,365,116,89,78,56,26,0,251,190,87,6,52,306,0,0,1
"California","Yolo",1987,365,233,75,47,8,2,0,223,119,43,19,0,331,0,0,15
"Colorado","Adams",1987,365,156,172,32,5,0,0,187,101,56,31,151,149,28,0,6
"Colorado","Arapahoe",1987,365,181,140,39,4,1,0,204,103,51,8,117,234,0,0,6
"Colorado","Archuleta",1987,68,54,14,0,0,0,0,75,60,31,0,0,0,0,0,68
"Colorado","Boulder",1987,363,224,108,28,3,0,0,192,93,42,63,0,266,0,0,34
"Colorado","Denver",1987,365,68,217,59,15,6,0,236,122,71,101,144,83,33,0,4
"Colorado","Eagle",1987,135,118,17,0,0,0,0,80,54,24,53,0,0,0,0,82
"Colorado","El Paso",1987,365,251,113,1,0,0,0,121,71,46,117,0,223,0,0,25
"Colorado","Fremont",1987,6,6,0,0,0,0,0,25,25,14,0,0,0,0,0,6
"Colorado","Garfield",1987,57,54,3,0,0,0,0,64,38,22,0,0,0,0,0,57
"Colorado","Gunnison",1987,114,95,19,0,0,0,0,77,55,29,0,0,0,0,0,114
"Colorado","Jefferson",1987,364,207,133,21,2,1,0,202,93,45,114,0,236,0,0,14
"Colorado","Larimer",1987,364,237,118,6,3,0,0,175,83,44,111,0,245,0,0,8
"Colorado","Mesa",1987,365,237,126,2,0,0,0,105,71,47,69,0,281,1,0,14
"Colorado","Prowers",1987,106,105,1,0,0,0,0,54,36,23,0,0,0,0,0,106
"Colorado","Pueblo",1987,15,12,3,0,0,0,0,56,54,32,0,0,0,0,0,15
"Colorado","Routt",1987,118,101,17,0,0,0,0,88,60,25,0,0,0,0,0,118
"Colorado","San Miguel",1987,92,54,38,0,0,0,0,91,78,46,0,0,0,0,0,92
"Colorado","Weld",1987,364,245,112,7,0,0,0,126,77,44,112,0,243,0,0,9
"Connecticut","Fairfield",1987,365,145,148,36,19,17,0,239,150,60,24,53,123,165,0,0
"Connecticut","Hartford",1987,365,163,185,15,1,1,0,203,89,54,194,29,72,66,0,4
"Connecticut","Middlesex",1987,209,147,27,18,15,2,0,252,143,43,0,0,209,0,0,0
"Connecticut","New Haven",1987,365,108,179,56,13,9,0,226,124,64,6,68,84,165,0,42
"Connecticut","New London",1987,357,243,75,21,6,12,0,235,105,41,0,0,180,177,0,0
"Connecticut","Tolland",1987,208,151,33,19,5,0,0,192,101,40,0,0,208,0,0,0
"Delaware","Kent",1987,357,223,82,31,18,3,0,208,133,43,0,0,223,134,0,0
"Delaware","New Castle",1987,360,62,187,71,30,10,0,222,151,81,0,54,107,196,0,3
"Delaware","Sussex",1987,310,171,77,43,17,2,0,203,119,46,0,0,179,131,0,0
"District Of Columbia","District of Columbia",1987,365,116,189,35,23,2,0,207,122,62,44,130,103,85,0,3
"Florida","Alachua",1987,331,329,2,0,0,0,0,69,17,7,0,0,0,331,0,0
"Florida","Broward",1987,365,310,45,10,0,0,0,140,64,37,76,0,281,0,0,8
"Florida","Duval",1987,365,182,138,40,4,1,0,219,103,51,31,45,201,83,0,5
"Florida","Escambia",1987,365,184,86,68,27,0,0,200,140,50,0,0,279,86,0,0
"Florida","Hamilton",1987,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Florida","Hillsborough",1987,365,72,122,125,42,4,0,219,161,95,4,20,106,235,0,0
"Florida","Leon",1987,252,222,27,3,0,0,0,119,61,35,0,0,252,0,0,0
"Florida","Miami-Dade",1987,365,228,115,16,5,1,0,214,80,44,139,50,165,0,0,11
"Florida","Nassau",1987,365,259,51,38,17,0,0,200,120,24,0,0,0,365,0,0
"Florida","Orange",1987,365,300,52,11,2,0,0,185,74,37,91,0,273,1,0,0
"Florida","Palm Beach",1987,365,328,34,3,0,0,0,126,51,31,12,51,300,2,0,0
"Florida","Pinellas",1987,365,151,135,68,10,1,0,205,119,59,60,0,166,139,0,0
"Florida","Polk",1987,364,269,74,20,1,0,0,200,81,27,0,0,0,364,0,0
"Florida","Sarasota",1987,225,210,14,1,0,0,0,136,47,26,0,0,194,31,0,0
"Florida","Seminole",1987,354,276,60,17,1,0,0,185,80,39,0,0,354,0,0,0
"Florida","Volusia",1987,345,343,2,0,0,0,0,62,19,7,0,0,0,345,0,0
"Georgia","Bartow",1987,352,312,34,6,0,0,0,121,54,19,0,0,0,352,0,0
"Georgia","Chatham",1987,364,342,22,0,0,0,0,97,46,10,0,0,0,272,0,92
"Georgia","Dawson",1987,272,118,110,37,6,1,0,203,119,58,0,0,272,0,0,0
"Georgia","DeKalb",1987,365,215,85,35,22,8,0,237,140,46,12,148,205,0,0,0
"Georgia","Douglas",1987,182,99,41,23,15,4,0,226,154,49,0,0,182,0,0,0
"Georgia","Fannin",1987,350,132,60,96,62,0,0,200,169,87,0,0,0,350,0,0
"Georgia","Floyd",1987,339,288,29,22,0,0,0,150,69,10,0,0,0,339,0,0
"Georgia","Fulton",1987,365,147,130,69,15,4,0,227,129,59,25,130,109,93,0,8
"Georgia","Glynn",1987,345,345,0,0,0,0,0,43,21,7,0,0,0,345,0,0
"Georgia","McIntosh",1987,241,165,58,17,1,0,0,156,93,43,0,0,241,0,0,0
"Georgia","Muscogee",1987,345,234,70,34,7,0,0,174,105,43,0,0,262,83,0,0
"Georgia","Paulding",1987,267,172,52,24,18,1,0,230,136,42,0,0,267,0,0,0
"Georgia","Rockdale",1987,256,124,71,40,15,6,0,222,147,51,0,0,256,0,0,0
"Hawaii","Hawaii",1987,338,219,14,17,88,0,0,200,200,36,0,0,198,140,0,0
"Hawaii","Honolulu",1987,365,365,0,0,0,0,0,45,33,22,246,0,97,0,0,22
"Hawaii","Kauai",1987,53,53,0,0,0,0,0,35,23,18,0,0,0,0,0,53
"Hawaii","Maui",1987,18,18,0,0,0,0,0,39,34,27,0,0,0,0,0,18
"Idaho","Ada",1987,341,236,104,0,1,0,0,173,68,39,310,0,0,0,0,31
"Idaho","Bannock",1987,348,169,74,64,41,0,0,200,156,54,0,0,0,314,0,34
"Idaho","Bonner",1987,70,52,18,0,0,0,0,86,64,37,0,0,0,0,0,70
"Idaho","Caribou",1987,341,296,41,4,0,0,0,131,56,17,0,0,0,314,0,27
"Idaho","Kootenai",1987,68,47,21,0,0,0,0,85,61,34,0,0,0,0,0,68
"Idaho","Latah",1987,46,32,14,0,0,0,0,84,68,35,0,0,0,0,0,46
"Idaho","Nez Perce",1987,29,22,7,0,0,0,0,76,61,34,0,0,0,0,0,29
"Idaho","Shoshone",1987,59,33,20,6,0,0,0,118,105,40,0,0,0,0,0,59
"Idaho","Twin Falls",1987,47,43,3,1,0,0,0,102,44,22,0,0,0,0,0,47
"Illinois","Adams",1987,365,251,80,34,0,0,0,149,99,39,0,0,229,136,0,0
"Illinois","Champaign",1987,357,270,71,14,2,0,0,177,74,36,0,0,276,81,0,0
"Illinois","Cook",1987,365,39,192,114,13,7,0,238,129,84,16,76,53,218,0,2
"Illinois","Crawford",1987,46,42,4,0,0,0,0,67,49,16,0,0,0,46,0,0
"Illinois","DuPage",1987,359,285,60,13,1,0,0,166,70,30,1,0,240,100,0,18
"Illinois","Effingham",1987,220,126,66,26,2,0,0,179,112,46,0,0,220,0,0,0
"Illinois","Kane",1987,342,289,38,13,2,0,0,166,67,28,0,0,342,0,0,0
"Illinois","La Salle",1987,56,34,19,3,0,0,0,128,87,32,0,0,0,0,0,56
"Illinois","Lake",1987,364,294,39,19,7,5,0,246,87,31,0,0,364,0,0,0
"Illinois","Macon",1987,361,175,83,72,31,0,0,200,147,52,0,0,134,195,0,32
"Illinois","Macoupin",1987,359,232,84,37,5,1,0,201,105,43,0,0,296,63,0,0
"Illinois","Madison",1987,365,47,136,158,23,1,0,203,138,100,14,0,62,255,0,34
"Illinois","Massac",1987,254,156,65,30,3,0,0,175,104,37,0,0,0,254,0,0
"Illinois","McHenry",1987,362,309,39,11,2,1,0,205,64,29,0,0,362,0,0,0
