"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2001,283,190,79,12,2,0,0,159,84,43,0,0,214,0,69,0
"Alabama","Clay",2001,279,158,106,14,1,0,0,164,87,46,0,0,207,0,72,0
"Alabama","Colbert",2001,360,288,66,6,0,0,0,116,67,11,0,0,0,274,86,0
"Alabama","DeKalb",2001,117,52,64,1,0,0,0,102,84,53,0,0,0,0,111,6
"Alabama","Elmore",2001,241,165,63,12,1,0,0,154,80,43,0,0,241,0,0,0
"Alabama","Escambia",2001,115,63,52,0,0,0,0,83,67,46,0,0,0,0,110,5
"Alabama","Etowah",2001,110,48,62,0,0,0,0,99,84,53,0,0,0,0,94,16
"Alabama","Houston",2001,114,55,59,0,0,0,0,91,76,52,0,0,0,0,108,6
"Alabama","Jackson",2001,360,319,34,7,0,0,0,150,55,13,0,0,0,360,0,0
"Alabama","Jefferson",2001,365,40,223,73,22,7,0,265,143,78,66,0,46,3,247,3
"Alabama","Lawrence",2001,274,188,79,7,0,0,0,119,75,44,0,0,201,0,73,0
"Alabama","Madison",2001,364,229,119,16,0,0,0,136,87,44,0,0,275,0,74,15
"Alabama","Marengo",2001,60,60,0,0,0,0,0,49,36,19,0,0,0,0,0,60
"Alabama","Mobile",2001,326,223,87,15,1,0,0,159,84,43,0,0,189,40,82,15
"Alabama","Montgomery",2001,285,164,111,10,0,0,0,150,80,45,0,0,186,0,95,4
"Alabama","Morgan",2001,271,159,95,16,1,0,0,169,93,46,0,0,201,0,63,7
"Alabama","Pike",2001,60,59,1,0,0,0,0,53,31,19,0,0,0,0,0,60
"Alabama","Russell",2001,110,43,66,1,0,0,0,125,85,57,0,0,0,0,105,5
"Alabama","Shelby",2001,285,157,98,23,7,0,0,197,101,47,0,6,194,0,83,2
"Alabama","Sumter",2001,274,190,78,5,1,0,0,164,73,43,0,0,186,0,88,0
"Alabama","Talladega",2001,115,50,65,0,0,0,0,97,75,54,0,0,0,0,107,8
"Alabama","Tuscaloosa",2001,242,176,56,9,1,0,0,192,77,41,0,0,226,0,15,1
"Alaska","Aleutians East ",2001,10,10,0,0,0,0,0,39,39,10,0,0,0,0,10,0
"Alaska","Anchorage ",2001,305,254,49,2,0,0,0,113,58,28,143,0,0,0,75,87
"Alaska","Denali ",2001,362,355,7,0,0,0,0,71,45,34,0,0,361,0,1,0
"Alaska","Fairbanks North Star ",2001,243,175,62,6,0,0,0,133,77,31,120,0,0,0,123,0
"Alaska","Juneau ",2001,130,117,13,0,0,0,0,96,51,17,0,0,0,0,125,5
"Alaska","Kenai Peninsula ",2001,5,5,0,0,0,0,0,33,33,3,0,0,0,0,5,0
"Alaska","Ketchikan Gateway ",2001,30,28,2,0,0,0,0,74,45,16,0,0,0,0,30,0
"Alaska","Matanuska-Susitna ",2001,125,105,20,0,0,0,0,93,66,18,0,0,0,0,112,13
"Arizona","Apache",2001,95,95,0,0,0,0,0,32,23,14,0,0,0,0,95,0
"Arizona","Cochise",2001,343,262,81,0,0,0,0,93,64,44,0,0,328,0,9,6
"Arizona","Coconino",2001,359,241,115,3,0,0,0,105,71,46,0,0,342,0,17,0
"Arizona","Gila",2001,365,108,138,104,15,0,0,200,129,72,0,0,0,342,19,4
"Arizona","Graham",2001,59,58,1,0,0,0,0,57,31,19,0,0,0,0,0,59
"Arizona","Maricopa",2001,365,30,251,71,13,0,0,185,122,80,0,78,202,0,56,29
"Arizona","Mohave",2001,73,71,2,0,0,0,0,73,44,24,0,0,0,0,9,64
"Arizona","Navajo",2001,107,106,1,0,0,0,0,52,24,13,0,0,0,0,92,15
"Arizona","Pima",2001,365,225,136,4,0,0,0,115,77,47,0,49,240,0,31,45
"Arizona","Pinal",2001,223,111,89,23,0,0,0,147,101,51,0,0,153,0,70,0
"Arizona","Santa Cruz",2001,63,39,22,2,0,0,0,130,67,42,0,0,0,0,42,21
"Arizona","Yavapai",2001,316,166,136,14,0,0,0,122,90,50,0,0,294,0,18,4
"Arizona","Yuma",2001,191,154,34,3,0,0,0,140,70,40,0,0,176,0,0,15
"Arkansas","Arkansas",2001,103,50,53,0,0,0,0,93,68,51,0,0,0,0,103,0
"Arkansas","Ashley",2001,114,52,62,0,0,0,0,98,72,53,0,0,0,0,114,0
"Arkansas","Craighead",2001,80,40,40,0,0,0,0,99,71,52,0,0,0,0,80,0
"Arkansas","Crittenden",2001,365,225,104,27,9,0,0,192,100,44,0,0,304,0,61,0
"Arkansas","Faulkner",2001,90,43,47,0,0,0,0,96,72,51,0,0,0,0,90,0
"Arkansas","Garland",2001,119,53,66,0,0,0,0,91,71,54,0,0,0,0,119,0
"Arkansas","Jefferson",2001,87,32,55,0,0,0,0,95,75,54,0,0,0,0,87,0
"Arkansas","Marion",2001,82,62,20,0,0,0,0,73,60,31,0,0,0,0,82,0
"Arkansas","Miller",2001,86,35,51,0,0,0,0,90,72,54,0,0,0,0,86,0
"Arkansas","Mississippi",2001,89,46,43,0,0,0,0,96,72,48,0,0,0,0,89,0
"Arkansas","Montgomery",2001,358,331,27,0,0,0,0,80,49,33,0,0,358,0,0,0
"Arkansas","Newton",2001,357,271,78,8,0,0,0,136,77,43,0,0,326,0,31,0
"Arkansas","Phillips",2001,115,58,56,1,0,0,0,107,71,50,0,0,0,0,115,0
"Arkansas","Polk",2001,121,68,53,0,0,0,0,84,69,47,0,0,0,0,121,0
"Arkansas","Pope",2001,107,54,53,0,0,0,0,86,69,50,0,0,0,0,107,0
"Arkansas","Pulaski",2001,365,117,215,29,4,0,0,156,100,58,0,4,122,0,239,0
"Arkansas","Sebastian",2001,106,50,56,0,0,0,0,89,73,52,0,0,0,0,106,0
"Arkansas","Union",2001,363,310,49,4,0,0,0,129,59,14,0,0,0,274,89,0
"Arkansas","Washington",2001,99,60,39,0,0,0,0,83,64,47,0,0,0,0,99,0
"Arkansas","White",2001,81,41,40,0,0,0,0,90,70,50,0,0,0,0,81,0
"California","Alameda",2001,365,290,57,12,6,0,0,178,68,40,0,116,189,0,60,0
"California","Amador",2001,363,248,89,25,1,0,0,154,93,40,3,0,360,0,0,0
"California","Butte",2001,365,152,162,43,8,0,0,159,111,56,0,3,253,0,108,1
"California","Calaveras",2001,364,228,91,41,4,0,0,161,105,44,1,0,347,0,16,0
"California","Colusa",2001,363,234,106,21,2,0,0,156,87,42,0,0,291,0,39,33
"California","Contra Costa",2001,365,258,80,21,6,0,0,192,87,44,0,36,215,8,105,1
"California","Del Norte",2001,125,125,0,0,0,0,0,50,33,14,0,0,0,0,93,32
"California","El Dorado",2001,365,160,119,53,30,3,0,204,147,58,0,15,339,0,11,0
